city_name,january_avg_temp,january_min_temp,january_max_temp,january_avg_humidity,latitude,longitude
Alaminos,24.93,22.02,28.68,76.45,16.16,119.98
Angeles City,24.73,20.82,28.79,76.45,15.15,120.58
Antipolo,23.88,20.66,27.98,85.24,15.62,121.19
Bacolod,24.28,21.79,28.05,87.46,12.23,123.51
Bacoor,25.15,21.97,28.79,84.21,14.46,120.93
Bago City,25.3,23.07,28.3,84.22,10.53,122.83
Baguio,14.81,11.07,18.84,88.02,16.42,120.59
Bais,25.53,22.53,28.66,84.24,9.59,123.12
Balanga,25.07,22.06,28.82,83.65,14.68,120.54
Batac City,24.12,19.67,28.24,77.22,18.06,120.56
Batangas City,24.08,20.77,27.5,84.7,13.75,121.05
Bayawan,25.31,22.57,28.85,84.99,9.36,122.8
Baybay,25.27,22.79,28.73,87.13,13.41,123.71
Bayugan,23.83,19.86,28.36,86.87,8.76,125.77
Bislig,24.48,21.83,28.32,88.05,11.07,125.03
Biñan,24.95,21.97,28.94,84.69,14.34,121.08
Bogo,25.01,21.9,28.3,85.56,11.05,124.01
Borongan,24.07,21.05,27.27,90.23,11.61,125.43
Butuan,24.87,21.49,29.02,82.72,8.95,125.54
Cabadbaran,24.89,20.87,29.39,71.56,9.12,125.53
Cabanatuan City,24.17,20.58,28.23,81.95,15.48,120.97
Cabuyao,24.76,21.32,29.03,83.05,14.27,121.13
Cadiz,25.16,23.31,28.25,87.05,10.95,123.29
Cagayan de Oro,25.34,21.08,29.68,75.7,8.48,124.65
Calaca,24.55,21.17,28.19,83.42,13.93,120.81
Calamba,24.62,21.32,28.48,84.0,14.21,121.17
Calapan,24.74,22.16,27.87,85.31,13.41,121.18
Calbayog City,24.37,21.37,28.64,89.8,12.07,124.6
Caloocan City,25.14,22.28,28.53,84.94,14.65,120.97
Candon,24.81,22.28,28.35,81.05,17.19,120.45
Canlaon,21.42,18.42,24.83,91.27,10.39,123.2
Carcar,24.72,22.12,28.07,85.48,10.11,123.64
Carmona,24.61,21.38,28.47,86.23,14.31,121.06
Catbalogan,24.79,21.41,28.6,87.49,11.78,124.89
Cauayan,21.43,18.28,24.73,91.43,16.93,121.77
Cavite City,25.25,21.96,29.01,84.27,14.48,120.92
Cebu City,26.02,22.81,30.13,83.2,10.32,123.89
City of Marikina,25.03,22.27,28.93,83.97,14.63,121.1
City of Masbate,24.31,21.84,28.0,88.66,12.33,123.58
City of Passi,23.49,20.95,26.9,91.79,11.15,122.65
City of Sorsogon,24.18,22.3,27.74,90.35,12.98,123.98
Cotabato,25.07,21.56,29.81,85.94,7.22,124.25
Dagupan,22.33,19.56,25.89,89.66,17.71,121.5
Danao,26.25,23.11,30.23,86.03,10.52,124.03
Dapitan,26.33,22.81,30.41,83.28,10.27,123.95
Dasmariñas,24.23,21.29,27.82,86.41,14.33,120.94
Davao,26.68,22.72,30.88,82.02,7.07,125.61
Digos,25.88,22.75,30.01,83.44,6.75,125.36
Dipolog,25.07,21.96,28.71,86.71,8.59,123.34
Dumaguete,25.69,22.66,29.14,88.64,9.31,123.31
El Salvador,25.46,21.53,29.44,75.41,8.56,124.52
Escalante,24.91,22.81,27.87,86.65,10.84,123.5
Gapan,24.25,20.66,28.33,82.41,15.31,120.95
General Santos,26.4,23.03,30.89,81.29,6.11,125.17
General Trias,24.68,21.35,28.59,85.53,14.39,120.88
Gingoog City,25.16,21.33,29.76,85.35,8.83,125.12
Himamaylan,24.9,22.31,28.45,87.27,10.1,122.87
Ilagan,21.76,18.51,25.08,92.06,17.15,121.89
Iligan City,23.36,20.08,27.94,89.76,8.25,124.4
Iloilo City,24.37,22.07,27.6,87.86,10.75,122.55
Imus,25.12,21.92,28.81,84.29,14.43,120.94
Iriga City,24.96,20.73,28.86,92.16,13.42,123.42
Isabela,24.74,21.44,28.85,87.01,10.2,122.99
Kabankalan,24.74,22.11,28.13,88.52,9.99,122.81
Kidapawan,24.43,20.45,28.52,87.32,7.01,125.09
Koronadal,25.49,21.44,30.04,86.9,6.5,124.85
La Carlota,24.98,22.46,28.6,84.4,10.42,122.92
Lamitan,26.33,23.84,29.94,78.26,6.09,125.7
Laoag,24.09,19.66,28.73,77.13,18.2,120.59
Lapu-Lapu City,26.3,23.24,30.29,83.67,10.31,123.95
Las Piñas,25.02,22.02,28.88,84.17,14.45,120.98
Legazpi City,24.6,21.93,28.39,91.05,13.13,123.73
Ligao,24.87,21.61,29.33,90.31,13.24,123.53
Lipa City,22.51,19.1,26.24,86.22,13.95,121.17
Lucena,24.03,21.69,27.42,89.69,10.88,122.6
Maasin,23.41,20.54,27.53,90.14,10.89,122.43
Mabalacat City,24.82,21.39,28.73,76.16,15.22,120.57
Makati City,25.14,22.33,28.86,83.31,14.55,121.03
Malabon,24.96,21.55,28.83,78.6,15.64,119.94
Malaybalay,20.23,16.61,24.52,89.15,8.15,125.08
Malolos,24.99,21.52,28.65,83.25,14.84,120.81
Mandaluyong City,25.12,22.29,29.06,83.81,14.58,121.04
Mandaue City,26.24,22.88,30.34,83.51,10.33,123.93
Manila,25.12,21.76,28.95,83.55,14.6,120.98
Marawi,20.64,16.7,24.53,89.81,8.0,124.29
Mati,24.71,22.05,28.13,83.3,9.73,125.47
Meycauayan,24.99,21.79,28.84,86.82,14.74,120.96
Muñoz,23.99,20.67,27.61,80.85,15.72,120.9
Naga,24.82,21.3,29.51,90.19,13.62,123.18
Navotas,25.15,21.79,28.89,84.88,14.67,120.95
Olongapo,25.05,22.09,28.99,78.05,14.83,120.28
Ormoc,24.55,21.3,28.39,88.96,11.01,124.61
Oroquieta,24.8,21.66,28.6,88.26,8.49,123.8
Ozamiz City,24.83,21.65,28.96,87.55,8.15,123.83
Pagadian,23.53,20.43,27.31,86.02,7.83,123.44
Palayan City,24.45,20.71,28.23,81.8,15.55,121.08
Panabo,26.72,22.91,30.84,82.88,7.31,125.68
Paranaque City,25.02,21.9,28.61,84.16,14.48,121.02
Pasig,24.96,22.26,28.51,82.58,14.59,121.06
Puerto Princesa City,26.47,22.84,30.72,82.6,9.73,118.73
Quezon City,24.9,21.83,28.39,84.1,14.63,121.03
Roxas,22.02,18.78,25.59,88.87,17.12,121.62
Sagay,25.36,23.6,28.46,85.4,10.94,123.42
Samal,25.12,21.81,29.5,82.59,14.77,120.54
San Carlos,24.26,20.58,28.21,82.58,15.54,120.89
San Fernando,24.1,21.54,27.11,77.72,16.62,120.32
San Jose,21.59,18.26,25.36,93.02,17.89,121.87
San Jose del Monte,24.72,21.55,28.35,86.5,14.81,121.05
San Juan,25.32,22.71,28.88,89.78,17.74,120.46
San Pablo,25.52,21.93,29.06,81.36,14.97,120.62
San Pedro,21.64,18.73,25.19,92.47,17.2,121.88
Santa Rosa,24.25,20.76,28.24,82.69,15.42,120.94
Santiago,25.04,22.55,28.35,85.43,17.29,120.44
Santo Tomas,21.87,19.15,25.52,91.14,17.4,121.76
Silay City,25.05,22.86,28.15,85.97,10.8,122.97
Sipalay,25.59,23.44,28.87,84.3,9.75,122.4
Surigao City,24.72,22.16,28.17,83.51,9.75,125.5
Tabaco,25.27,22.98,28.8,89.16,13.36,123.73
Tabuk,21.5,18.79,25.34,91.0,17.42,121.44
