city_name,date,avg_temp,min_temp,max_temp,avg_humidity,latitude,longitude,weather_season,climate_note
Alaminos,2026-01-01,24.34,22.3,26.74,75.0,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-02,24.78,23.46,27.58,76.9,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-03,24.94,23.39,27.41,75.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-04,24.9,22.23,27.8,77.6,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-05,24.9,23.01,27.41,75.6,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-06,24.95,23.17,27.76,73.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-07,24.7,22.54,27.1,75.0,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-08,24.88,22.02,28.14,74.9,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-09,24.57,22.75,26.23,74.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-10,24.85,22.18,28.32,77.1,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-11,25.12,22.83,27.46,77.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-12,25.16,22.25,27.94,73.9,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-13,24.93,22.55,28.32,79.3,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-14,24.83,22.78,28.1,78.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-15,25.06,23.14,27.97,79.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-16,24.8,22.36,27.44,75.9,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-17,24.99,22.15,27.87,77.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-18,25.13,23.59,27.18,75.5,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-19,24.92,22.33,28.0,75.1,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-20,25.1,23.44,27.74,76.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-21,25.1,23.08,27.3,77.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-22,25.02,22.49,28.68,76.1,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-23,25.1,22.96,28.31,75.0,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-24,24.75,22.62,27.67,75.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-25,25.11,22.92,27.62,73.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-26,24.96,23.21,28.03,75.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-27,24.96,23.04,28.02,79.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-28,25.04,22.5,27.68,77.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-29,25.09,22.66,28.31,77.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-30,24.79,22.98,26.92,79.7,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-31,24.92,22.13,27.13,79.1,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Angeles City,2026-01-01,25.12,22.28,27.83,74.7,15.15,120.5833,Amihan (Northeast Monsoon),Cool Dry Season
Angeles City,2026-01-02,25.16,22.96,27.56,76.8,15.15,120.5833,Amihan (Northeast Monsoon),Cool Dry Season
