city_name,date,hour,predicted_temp,predicted_humidity,latitude,longitude,weather_season,climate_note
Alaminos,2026-01-01,0,22.3,71.0,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-01,3,23.08,73.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-01,6,22.75,72.3,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-01,9,25.1,81.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-01,12,26.25,69.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-01,15,26.74,70.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-01,18,23.81,78.3,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-01,21,24.7,83.7,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-02,0,24.61,82.0,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-02,3,24.41,76.0,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-02,6,23.46,74.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-02,9,23.97,76.9,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-02,12,27.58,78.1,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-02,15,25.83,75.7,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-02,18,24.05,80.0,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-02,21,24.3,72.0,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-03,0,23.39,69.1,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-03,3,24.27,72.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-03,6,23.77,75.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-03,9,25.07,78.5,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-03,12,27.3,72.7,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-03,15,27.41,83.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-03,18,24.39,75.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-03,21,23.9,74.3,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-04,0,23.78,80.9,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-04,3,23.89,83.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-04,6,22.23,74.3,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-04,9,25.57,76.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-04,12,27.27,83.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-04,15,27.8,74.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-04,18,24.7,76.5,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-04,21,23.99,72.7,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-05,0,23.01,82.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-05,3,23.58,72.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-05,6,23.66,82.5,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-05,9,25.47,76.3,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-05,12,27.38,70.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-05,15,27.41,70.7,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-05,18,25.03,68.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-05,21,23.69,80.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-06,0,24.11,69.9,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-06,3,23.67,72.1,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-06,6,23.17,79.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-06,9,25.97,69.7,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-06,12,27.76,73.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-06,15,26.91,73.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-06,18,24.54,74.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-06,21,23.44,77.1,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-07,0,23.45,83.0,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-07,3,23.07,70.5,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-07,6,22.54,82.5,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-07,9,25.38,70.1,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-07,12,27.1,71.3,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-07,15,26.69,73.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-07,18,25.03,74.3,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-07,21,24.31,74.9,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-08,0,23.92,73.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-08,3,22.02,72.7,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-08,6,22.67,79.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-08,9,26.31,78.5,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-08,12,27.15,76.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-08,15,28.14,76.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-08,18,24.72,70.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-08,21,24.07,72.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-09,0,24.08,76.8,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-09,3,22.75,73.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-09,6,23.02,77.9,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-09,9,25.78,72.3,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-09,12,26.23,70.4,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-09,15,26.23,76.2,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
Alaminos,2026-01-09,18,25.66,77.9,16.1561,119.9811,Amihan (Northeast Monsoon),Cool Dry Season
